#--------------------------------------------------------------------------
# Transmittance and reflectance of a multilayered film at 
# 0.3 - 1.0 um wavelength range computed by the transfer matrix method. 
#
# The multilayered film consist of:  
#   50 nm   silver
#   500 nm  dielectric (N = 1.5)
#   200 nm  silver
#
# F. Ramirez 2022
#--------------------------------------------------------------------------
# column 1: wavelength (um)
# column 2: Reflectance
# column 3: Transmittance
#
0.852252 0.991174 0.000000
0.853153 0.991251 0.000000
0.854054 0.991325 0.000000
0.854955 0.991394 0.000000
0.855856 0.991461 0.000000
0.856757 0.991524 0.000000
0.857658 0.991584 0.000000
0.858559 0.991641 0.000000
0.859459 0.991696 0.000000
0.860360 0.991749 0.000000
0.861261 0.991799 0.000000
0.862162 0.991848 0.000000
0.863063 0.991894 0.000000
0.863964 0.991939 0.000000
0.864865 0.991982 0.000000
0.865766 0.992023 0.000000
0.866667 0.992063 0.000000
0.867568 0.992102 0.000000
0.868468 0.992139 0.000000
0.869369 0.992175 0.000000
0.870270 0.992210 0.000000
0.871171 0.992244 0.000000
0.872072 0.992277 0.000000
0.872973 0.992309 0.000000
0.873874 0.992339 0.000000
0.874775 0.992369 0.000000
0.875676 0.992398 0.000000
0.876577 0.992427 0.000000
0.877477 0.992454 0.000000
0.878378 0.992481 0.000000
0.879279 0.992507 0.000000
0.880180 0.992533 0.000000
0.881081 0.992557 0.000000
0.881982 0.992582 0.000000
0.882883 0.992605 0.000000
0.883784 0.992628 0.000000
0.884685 0.992651 0.000000
0.885586 0.992673 0.000000
0.886486 0.992694 0.000000
0.887387 0.992715 0.000000
0.888288 0.992735 0.000000
0.889189 0.992755 0.000000
0.890090 0.992775 0.000000
0.890991 0.992794 0.000000
0.891892 0.992812 0.000000
0.892793 0.992831 0.000000
0.893694 0.992848 0.000000
0.894595 0.992866 0.000000
0.895495 0.992883 0.000000
0.896396 0.992900 0.000000
0.897297 0.992916 0.000000
0.898198 0.992932 0.000000
0.899099 0.992948 0.000000
0.900000 0.992964 0.000000
0.900901 0.992979 0.000000
0.901802 0.992994 0.000000
0.902703 0.993009 0.000000
0.903604 0.993023 0.000000
0.904505 0.993037 0.000000
0.905405 0.993051 0.000000
0.906306 0.993065 0.000000
0.907207 0.993079 0.000000
0.908108 0.993092 0.000000
0.909009 0.993105 0.000000
0.909910 0.993118 0.000000
0.910811 0.993130 0.000000
0.911712 0.993143 0.000000
0.912613 0.993155 0.000000
0.913514 0.993167 0.000000
0.914414 0.993179 0.000000
0.915315 0.993191 0.000000
0.916216 0.993202 0.000000
0.917117 0.993214 0.000000
0.918018 0.993225 0.000000
0.918919 0.993236 0.000000
0.919820 0.993247 0.000000
0.920721 0.993258 0.000000
0.921622 0.993268 0.000000
0.922523 0.993279 0.000000
0.923423 0.993289 0.000000
0.924324 0.993300 0.000000
0.925225 0.993310 0.000000
0.926126 0.993320 0.000000
0.927027 0.993330 0.000000
0.927928 0.993339 0.000000
0.928829 0.993349 0.000000
0.929730 0.993358 0.000000
0.930631 0.993368 0.000000
0.931532 0.993377 0.000000
0.932432 0.993386 0.000000
0.933333 0.993395 0.000000
0.934234 0.993404 0.000000
0.935135 0.993413 0.000000
0.936036 0.993421 0.000000
0.936937 0.993430 0.000000
0.937838 0.993439 0.000000
0.938739 0.993447 0.000000
0.939640 0.993455 0.000000
0.940541 0.993464 0.000000
0.941441 0.993472 0.000000
0.942342 0.993480 0.000000
0.943243 0.993488 0.000000
0.944144 0.993496 0.000000
0.945045 0.993504 0.000000
0.945946 0.993512 0.000000
0.946847 0.993520 0.000000
0.947748 0.993528 0.000000
0.948649 0.993535 0.000000
0.949550 0.993543 0.000000
0.950450 0.993551 0.000000
0.951351 0.993558 0.000000
0.952252 0.993566 0.000000
0.953153 0.993573 0.000000
0.954054 0.993581 0.000000
0.954955 0.993590 0.000000
0.955856 0.993598 0.000000
0.956757 0.993607 0.000000
0.957658 0.993616 0.000000
0.958559 0.993625 0.000000
0.959459 0.993633 0.000000
0.960360 0.993642 0.000000
0.961261 0.993650 0.000000
0.962162 0.993658 0.000000
0.963063 0.993667 0.000000
0.963964 0.993675 0.000000
0.964865 0.993683 0.000000
0.965766 0.993691 0.000000
0.966667 0.993699 0.000000
0.967568 0.993707 0.000000
0.968468 0.993714 0.000000
0.969369 0.993722 0.000000
0.970270 0.993730 0.000000
0.971171 0.993737 0.000000
